RANK;COLOR;TYPE
0;#ff0000;0
0;#ff0000;0
0;#ff0000;0
1;#ff9900;0
1;#ffe600;0
1;#ffff00;0
2;#ccff00;0
3;#99ff00;0
3;#00ff99;0
3;#00ffff;0
3;#ffffff;0
0;#ff0000;3
10;#ff0000;3
20;#ff0000;3
30;#ff9900;3
40;#ffe600;3
50;#ffff00;3
60;#ccff00;3
70;#99ff00;3
80;#00ff99;3
90;#00ffff;3
100;#ffffff;3
