RANK;COLOR;TYPE
0;#ffffff;0
0;#e1e1e1;0
0;#d2d2d2;0
0;#c3c3c3;0
0;#aaaaaa;0
0;#b4b4b4;0
0;#a5a5a5;0
1;#969696;0
1;#878787;0
1;#787878;0
1;#696969;0
1;#5a5a5a;0
1;#4b4b4b;0
2;#3c3c3c;0
2;#2d2d2d;0
3;#1e1e1e;0
