RANK;COLOR;TYPE
0;#380070;0
0;#3000a8;0
0;#0000fc;0
0;#006cc0;0
0;#ffffff;0
1;#26ae26;0
1;#26c626;0
2;#52de26;0
3;#abe126;0
3;#e5e126;0
3;#fcbc26;0
3;#fc9626;0
3;#fc5800;0
3;#fc0000;0
3;#a00000;0
3;#fcfcfc;0
0;#eef3fa;2
0;#532485;2
0;#4c24b4;2
0;#2324fc;2
0;#2380c9;2
1;#23ac25;2
1;#23c425;2
2;#50dc25;2
3;#a8df25;2
3;#e2df25;2
3;#faba25;2
3;#fa9525;2
3;#fa6f25;2
3;#fa2425;2
3;#ac2425;2
3;#fafbfc;2
