RANK;COLOR;TYPE
0;#1464d2;0
0;#1e6eeb;0
0;#2882f0;0
1;#3c96f5;0
1;#50a5f5;0
2;#78b9fa;0
3;#96d2fa;0
3;#b4f0fa;0
3;#e1ffff;0
3;#ffffff;0
