RANK;COLOR;TYPE
0;#ffffff;0
2;#00fe96;0
4;#00fec8;0
6;#00fefe;0
8;#00c8fe;0
10;#0096fe;0
12,5;#0064fe;0
15;#0032fe;0
17,5;#3200fe;0
20;#6400fe;0
25;#9600fe;0
30;#c800fe;0
35;#fa00fe;0
40;#c800c8;0
45;#960096;0
50;#640064;0
