RANK;COLOR;TYPE
3;#000000;0
3;#242424;0
3;#494949;0
2;#6d6d6d;0
2;#929292;0
1;#b6b6b6;0
1;#dbdbdb;0
0;#dbdbdb;0
0;#ffffff;0
